Refcode,IsMono,HasDisorder
QIWFAH,True,False
ELORED,True,False
EZUMIX,True,False
FATHUF,True,False
FIJQAR,True,True
GIKHEO,True,False
HIDGEK,True,True
HIDGIO,True,True
HIVGAY,True,False
IPOMEG,True,True
IPOMIK,True,True
IPOMOQ,True,True
IQUNAM,True,False
ISULOX,True,True
KOPBUO,True,False
KUPBEE,True,True
LATWAG,True,False
LURHAH,True,False
MENQOL,True,False
MENQOL01,True,False
MUKZUN,True,False
MUKZUN01,True,False
OWATOY,True,False
PEXLOW,True,False
QAHXOO,True,False
QAVVOY,True,False
SIKVAM,True,False
SITQIW,True,False
SONRIW,True,False
TUXBEU,True,False
UPEMOU,True,True
UQAHIF,True,False
UQAHOL,True,False
VAHPEC,True,False
VIPHOT,True,True
WIMCOK,True,False
WUQRAD,True,False
YUXYEX,True,False
YUXYIB,True,False
YUXYOH,True,False
YUXZAU,True,False
ZICPEK,True,False
